"Not Installed","Not Installed"
"Incompatibility with the %1. To avoid the conflicts we strongly recommend turning off the 3rd party mod via the following command: ""%2""","Incompatibility with the %1. To avoid the conflicts we strongly recommend turning off the 3rd party mod via the following command: ""%2"""
Extension,Extension
Download,Download
"Magento Mode","Magento Mode"
"Magento Path","Magento Path"
Unknown,Unknown
"Server User","Server User"
"Current Database Time","Current Database Time"
"Current Magento Time","Current Magento Time"
"Job code","Job code"
Status,Status
"Created At","Created At"
"No cron jobs found","No cron jobs found"
"Learn more","Learn more"
"Cron (Last 5)","Cron (Last 5)"
"System Data","System Data"
"Cache Info","Cache Info"
"There is no sample file for this entity.","There is no sample file for this entity."
"Module Name is empty.","Module Name is empty."
"An error occurred while changing the frequency.","An error occurred while changing the frequency."
"You will get more messages of this type. Notification frequency has been updated.","You will get more messages of this type. Notification frequency has been updated."
"You will get less messages of this type. Notification frequency has been updated.","You will get less messages of this type. Notification frequency has been updated."
"Entity Type Code not set.","Entity Type Code not set."
"Mapping column doesn't exist.","Mapping column doesn't exist."
"Master Attribute Code doesn't set.","Master Attribute Code doesn't set."
"No such Import Behavior.","No such Import Behavior."
"Wrong Behavior Interface.","Wrong Behavior Interface."
"Wrong Validator Interface.","Wrong Validator Interface."
Configuration,Configuration
"User Guide","User Guide"
"Upgrade Your Plan","Upgrade Your Plan"
"The PHP function exec is disabled. Please contact your system administrator or your hosting provider.","The PHP function exec is disabled. Please contact your system administrator or your hosting provider."
"All Notifications","All Notifications"
"You have successfully unsubscribed from %1.","You have successfully unsubscribed from %1."
"Provided argument is not in PSR-0 or underscore notation.","Provided argument is not in PSR-0 or underscore notation."
"<b>Allowed errors limit is reached.</b>","<b>Allowed errors limit is reached.</b>"
"<b>Error!</b> ","<b>Error!</b> "
"2 days","2 days"
"5 days","5 days"
"10 days","10 days"
"15 days","15 days"
"30 days","30 days"
"General Info","General Info"
"Special Deals","Special Deals"
"Available Updates","Available Updates"
"Magento Tips & Tricks","Magento Tips & Tricks"
"Unsubscribe from all","Unsubscribe from all"
"Registration failed, please try again later.","Registration failed, please try again later."
Active,Active
Inactive,Inactive
"Type: %1","Type: %1"
"The ""%1"" group name isn't defined. Verify the executor and try again.","The ""%1"" group name isn't defined. Verify the executor and try again."
" by "," by "
"Update is available and recommended. See the <a target=""_blank"" href=""%1"">Change Log</a>","Update is available and recommended. See the <a target=""_blank"" href=""%1"">Change Log</a>"
"Need help with the settings?  Please  consult the <a target=""_blank"" href=""%1"">user guide</a> to configure the extension properly.","Need help with the settings?  Please  consult the <a target=""_blank"" href=""%1"">user guide</a> to configure the extension properly."
"Request New Feature","Request New Feature"
"Problems detected:","Problems detected:"
"Show less of these messages","Show less of these messages"
"Show more of these messages","Show more of these messages"
Unsubscribe,Unsubscribe
"Also recommended for your store","Also recommended for your store"
"Invalid request.","Invalid request."
"Invalid Request.","Invalid Request."
"All Store Views","All Store Views"
"Entity config not found for given path %1.","Entity config not found for given path %1."
"Need help with the settings? Please  consult the","Need help with the settings? Please  consult the"
"user guide","user guide"
"to configure the extension properly.","to configure the extension properly."
"Update is available and recommended. See the","Update is available and recommended. See the"
Solutions,Solutions
Extensions,Extensions
"Products & Notifications","Products & Notifications"
"View Your Products","View Your Products"
"Needs to be Updated","Needs to be Updated"
"Upgrade to Advanced Packages","Upgrade to Advanced Packages"
Products,Products
Version,Version
Actions,Actions
"New Update","New Update"
None,None
"Get Updates","Get Updates"
"How to Update?","How to Update?"
"Close Current Menu List","Close Current Menu List"
"Open ","Open "
Search,Search
"Sorry, no products were found.","Sorry, no products were found."
"Amasty Extensions","Amasty Extensions"
"Amasty Marketplace","Amasty Marketplace"
Amasty,Amasty
"Products &amp; Notifications","Products &amp; Notifications"
"Installed Extensions","Installed Extensions"
Notifications,Notifications
"Update Frequency","Update Frequency"
"I want to Receive Notifications about:","I want to Receive Notifications about:"
"Enable Feature Suggestions in Config?","Enable Feature Suggestions in Config?"
Menu,Menu
"Enable Amasty Menu Item","Enable Amasty Menu Item"
"System Information","System Information"
"System Settings","System Settings"
"CLI PHP Path","CLI PHP Path"
"Current CLI PHP path of your Magento which is used by our extension when running the commands directly during the processing of PHP requests. To change it, please run bin/magento config:set amasty_base/system/cli_php_path %CLI_PHP_PATH% from the command line.","Current CLI PHP path of your Magento which is used by our extension when running the commands directly during the processing of PHP requests. To change it, please run bin/magento config:set amasty_base/system/cli_php_path %CLI_PHP_PATH% from the command line."
