Run,Run
Clear,Clear
"The JS optimization is finished. Please check your website.","The JS optimization is finished. Please check your website."
"Use Clear Bundle button to roll back the JavaScript optimization.","Use Clear Bundle button to roll back the JavaScript optimization."
Default,Default
"Unable to save diagnostic result with ID %1. Error: %2","Unable to save diagnostic result with ID %1. Error: %2"
"Unable to save new diagnostic result. Error: %1","Unable to save new diagnostic result. Error: %1"
"Unable to clear diagnostic result. Error: %1","Unable to clear diagnostic result. Error: %1"
"Diagnostic result with specified ID ""%1"" not found.","Diagnostic result with specified ID ""%1"" not found."
"Diagnostic result with specified Version ""%1"" not found.","Diagnostic result with specified Version ""%1"" not found."
Disabled,Disabled
"Enabled (Recommended)","Enabled (Recommended)"
Desktop,Desktop
Tablet,Tablet
Mobile,Mobile
"Enable (Recommended)","Enable (Recommended)"
Disable,Disable
Yes,Yes
"No (Recommended)","No (Recommended)"
"Yes (Recommended)","Yes (Recommended)"
No,No
Enabled,Enabled
"You can close the window","You can close the window"
Homepage,Homepage
"Category Page","Category Page"
"Product Page","Product Page"
"Diagnose your website's speed","Diagnose your website's speed"
"Start Diagnostics","Start Diagnostics"
"Request custom optimization","Request custom optimization"
"Please note that Magento Production mode should be set instead of Developer or Default to get the best performance of the settings below.","Please note that Magento Production mode should be set instead of Developer or Default to get the best performance of the settings below."
"The server needs to be configured correspondingly for the proper work of the functionality. Please consult the user guide to find additional details.","The server needs to be configured correspondingly for the proper work of the functionality. Please consult the user guide to find additional details."
"Follow the recommendations, then run the diagnostics again to see the score improvement.","Follow the recommendations, then run the diagnostics again to see the score improvement."
After,After
Before,Before
"Last diagnostics","Last diagnostics"
"Your first diagnostics","Your first diagnostics"
"There is no one-size-fits-all solution to these cases for all Magento sites. Each case needs","There is no one-size-fits-all solution to these cases for all Magento sites. Each case needs"
"a tailored approach.","a tailored approach."
"So to solve this issue, you need","So to solve this issue, you need"
"to hire a developer","to hire a developer"
"who will analyze the code and possibly manage to optimize styles especially for your website.","who will analyze the code and possibly manage to optimize styles especially for your website."
"You can solve this issue, enabling LazyLoad setting in our module. To do so, please follow the steps below","You can solve this issue, enabling LazyLoad setting in our module. To do so, please follow the steps below"
Stores,Stores
Configuration,Configuration
"Amasty Extensions","Amasty Extensions"
"Google Page Speed Optimizer","Google Page Speed Optimizer"
"Image Optimization","Image Optimization"
"Lazy Load","Lazy Load"
"Use Lazy Loading Images","Use Lazy Loading Images"
"= Yes. The setting","= Yes. The setting"
"Lazy Load Settings","Lazy Load Settings"
"allows you to configure lazy Load for every page type individually.","allows you to configure lazy Load for every page type individually."
"This issue may occur due to","This issue may occur due to"
"incorrect server settings or bad code","incorrect server settings or bad code"
"so you might need extra help to deal with it. To have it fixed, you should","so you might need extra help to deal with it. To have it fixed, you should"
"address your sys admin","address your sys admin"
or,or
developer.,developer.
"The specialists will look into potential sources of the problem and solve it.","The specialists will look into potential sources of the problem and solve it."
"Please recheck if JS or CSS causes the problem.","Please recheck if JS or CSS causes the problem."
"If the report shows there is a problem with JS","If the report shows there is a problem with JS"
"you can fix it using our extension.","you can fix it using our extension."
"Please make sure","Please make sure"
"Magento Production mode","Magento Production mode"
"is set before performing optimization. Then please enable","is set before performing optimization. Then please enable"
"the following features","the following features"
Settings,Settings
JavaScript,JavaScript
"Amasty JS Optimization","Amasty JS Optimization"
"= Enabled.","= Enabled."
"Move JavaScript To Page Bottom","Move JavaScript To Page Bottom"
"= Yes.","= Yes."
"In case the problem is about the CSS files, there is no one-size-fits-all solution. Each case needs a tailored approach. So to solve such issues, you need to hire a developer who will analyze the code and possibly adapt the styles especially for your website.","In case the problem is about the CSS files, there is no one-size-fits-all solution. Each case needs a tailored approach. So to solve such issues, you need to hire a developer who will analyze the code and possibly adapt the styles especially for your website."
"This error means that there are some problems with","This error means that there are some problems with"
"your server operation.","your server operation."
"To have it solved, please","To have it solved, please"
"consult your hosting provider or system administrator.","consult your hosting provider or system administrator."
"To Minify CSS, please follow","To Minify CSS, please follow"
"the instructions below","the instructions below"
"Go to","Go to"
CSS,CSS
"Minify CSS Files","Minify CSS Files"
"You can minify Javascript files","You can minify Javascript files"
"in 2 ways","in 2 ways"
"Navigate to","Navigate to"
"= Enable. Now JS files will be optimized automatically including minifying and merging into smart bundles. Please make a full backup of your Magento instance just to be safe if anything goes wrong.","= Enable. Now JS files will be optimized automatically including minifying and merging into smart bundles. Please make a full backup of your Magento instance just to be safe if anything goes wrong."
"Minify JavaScript Files","Minify JavaScript Files"
"= Yes. Now JS files will be minified.","= Yes. Now JS files will be minified."
"Our extension solves this problem using special tools for image compression. Before enabling it, you need to make sure you have server utilities for image optimization installed. Here they are","Our extension solves this problem using special tools for image compression. Before enabling it, you need to make sure you have server utilities for image optimization installed. Here they are"
"JPEG optimization tool / PNG optimization tool / GIF optimization tool / WebP tool.","JPEG optimization tool / PNG optimization tool / GIF optimization tool / WebP tool."
"If you have not found any tool installed, you will need to choose the one that suits you best and set it up.","If you have not found any tool installed, you will need to choose the one that suits you best and set it up."
"Your hosting provider or system administrator","Your hosting provider or system administrator"
"can help you with the installation. After you verify that the optimization tools are installed, please follow","can help you with the installation. After you verify that the optimization tools are installed, please follow"
"the steps","the steps"
Content,Content
"Image Optimizer","Image Optimizer"
"Image Folder Optimization Settings","Image Folder Optimization Settings"
"Here you need to create Image Setting for the problematic image folder and","Here you need to create Image Setting for the problematic image folder and"
"enable Jpeg Tool","enable Jpeg Tool"
"Png Tool","Png Tool"
"Gif Tool","Gif Tool"
settings.,settings.
"Our extension solves this problem. You can create the copies of these files in the sizes that fit tablets and other mobile devices. To do so, please follow","Our extension solves this problem. You can create the copies of these files in the sizes that fit tablets and other mobile devices. To do so, please follow"
"Then add a new pattern for the problematic image folder.","Then add a new pattern for the problematic image folder."
"Then you need to create Image Settings for the problematic image folder and activate","Then you need to create Image Settings for the problematic image folder and activate"
"the following settings","the following settings"
"Create Image for Mobile","Create Image for Mobile"
"= Yes and","= Yes and"
"Create Image for Tablet","Create Image for Tablet"
"= Yes, then to choose a suitable","= Yes, then to choose a suitable"
"Resize Algorithm","Resize Algorithm"
"Now the images will be displayed correctly on tablets, smartphones and other mobile devices and weight much less.","Now the images will be displayed correctly on tablets, smartphones and other mobile devices and weight much less."
"This feature works as a server tool. Please","This feature works as a server tool. Please"
"contact your hosting provider or system administrator","contact your hosting provider or system administrator"
"and they will activate it for you.","and they will activate it for you."
"Our extension solves this problem. You can easily convert PNG and JPEG images in WebP, a new format developed by Google. Please follow","Our extension solves this problem. You can easily convert PNG and JPEG images in WebP, a new format developed by Google. Please follow"
"to convert your file(s)","to convert your file(s)"
"In the pattern move to","In the pattern move to"
"Create WebP Copy setting","Create WebP Copy setting"
"= Enable and then click on","= Enable and then click on"
"Save and Optimize","Save and Optimize"
"That is it","That is it"
"Preparing links","Preparing links"
"Processing links:","Processing links:"
"Optimization Finished","Optimization Finished"
"Please wait...","Please wait..."
"Select stores to optimize (usually it's unnecessary to optimize more than one store with the same theme/language):","Select stores to optimize (usually it's unnecessary to optimize more than one store with the same theme/language):"
Next,Next
"You can add specific pages to javascript bundle (e.g. Checkout page). Every link should be on a new line:","You can add specific pages to javascript bundle (e.g. Checkout page). Every link should be on a new line:"
Finish,Finish
"Please, click on the link(s) below to open it.","Please, click on the link(s) below to open it."
"It can take some time for the page(s) to load. Open all the links if there are several of them.","It can take some time for the page(s) to load. Open all the links if there are several of them."
"Wait until you get the message You can close the window","Wait until you get the message You can close the window"
"Please copy the code below and paste it in the 'system=>default' section of the 'app/etc/config.php' file.","Please copy the code below and paste it in the 'system=>default' section of the 'app/etc/config.php' file."
"If this key already exists, then replace it with the new one.","If this key already exists, then replace it with the new one."
"In the section 'system=>default=>dev=>js:' enable the following options: merge_files => 1, minify_files => 1, enable_js_bundling=> 1","In the section 'system=>default=>dev=>js:' enable the following options: merge_files => 1, minify_files => 1, enable_js_bundling=> 1"
"Push changes into your cloud repository","Push changes into your cloud repository"
"Launch the following CLI commands one by one:","Launch the following CLI commands one by one:"
"your locales","your locales"
Recommendations:,Recommendations:
"Something went wrong. Please reload the page.","Something went wrong. Please reload the page."
"Select at least one store.","Select at least one store."
General,General
"Enable Module","Enable Module"
"If the module is disabled, the extension settings Minify HTML, Merge JavaScript Files, Enable JavaScript Bundling, Minify JavaScript Files, Merge CSS Files, Minify CSS Files will be still enabled as they are related to Magento settings in Configuration - Advanced - Developer and enable these settings.","If the module is disabled, the extension settings Minify HTML, Merge JavaScript Files, Enable JavaScript Bundling, Minify JavaScript Files, Merge CSS Files, Minify CSS Files will be still enabled as they are related to Magento settings in Configuration - Advanced - Developer and enable these settings."
Diagnostic,Diagnostic
HTML:,HTML:
"Minify HTML","Minify HTML"
JavaScript:,JavaScript:
"Amasty JS optimization is a unique process that will significantly optimize JavaScript for your Magento website using Advanced JS Bundling feature and JS Minification.<br><br>You will need to use CLI commands to run through the optimization. Please make sure that you have access to the console and know how to do it.<br><br>Please create a full backup of your Magento instance and follow the instructions that are displayed in the 'Run Optimization"" section.","Amasty JS optimization is a unique process that will significantly optimize JavaScript for your Magento website using Advanced JS Bundling feature and JS Minification.<br><br>You will need to use CLI commands to run through the optimization. Please make sure that you have access to the console and know how to do it.<br><br>Please create a full backup of your Magento instance and follow the instructions that are displayed in the 'Run Optimization"" section."
"JS Optimization for Magento Cloud","JS Optimization for Magento Cloud"
"If the setting is enabled, Amasty JS Optimization will correctly work for Magento Cloud hosting platform. The setting may be also used in case you have automatic deployment. Please, find more details on how to set it up from the user guide.","If the setting is enabled, Amasty JS Optimization will correctly work for Magento Cloud hosting platform. The setting may be also used in case you have automatic deployment. Please, find more details on how to set it up from the user guide."
"Run Optimization","Run Optimization"
"Clear Bundle","Clear Bundle"
"Merge JavaScript Files","Merge JavaScript Files"
"'bin/magento setup:static-content:deploy' command must be run in the console when any of the settings in the field been changed.","'bin/magento setup:static-content:deploy' command must be run in the console when any of the settings in the field been changed."
"Enable JavaScript Bundling","Enable JavaScript Bundling"
"Minify JavaScript in PHTML Files","Minify JavaScript in PHTML Files"
"The setting will be not performed if the deployment of statics runs with --no-html-minify flag.","The setting will be not performed if the deployment of statics runs with --no-html-minify flag."
"This setting is recommended to be run on testing environment first.","This setting is recommended to be run on testing environment first."
"Specify Path to Templates to be Ignored","Specify Path to Templates to be Ignored"
"Each template from new line. Example: vendor/magento/module-catalog/view/frontend/templates/product/breadcrumbs.phtml","Each template from new line. Example: vendor/magento/module-catalog/view/frontend/templates/product/breadcrumbs.phtml"
"Include JS of the Admin Area Pages into Merged JS File","Include JS of the Admin Area Pages into Merged JS File"
"Optimizing the admin area pages sometimes lead to malfunctions and doesn't affect the Google rating","Optimizing the admin area pages sometimes lead to malfunctions and doesn't affect the Google rating"
"Exclude URLs from JS Bundling and Merge","Exclude URLs from JS Bundling and Merge"
"Each URL or part of the URL from new line","Each URL or part of the URL from new line"
"Ignore URL List","Ignore URL List"
"Ignore Scripts that Contain","Ignore Scripts that Contain"
CSS:,CSS:
"Merge CSS Files","Merge CSS Files"
"Merge CSS Files in Admin Area","Merge CSS Files in Admin Area"
"Exclude URLs from CSS Merge","Exclude URLs from CSS Merge"
"Defer Fonts Loading","Defer Fonts Loading"
"Defer Fonts for","Defer Fonts for"
"Do Not Defer Fonts That Contain","Do Not Defer Fonts That Contain"
"Example: Luma-Icons","Example: Luma-Icons"
"Move Print CSS Files to Page Bottom","Move Print CSS Files to Page Bottom"
"Flat Tables:","Flat Tables:"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Server Push:","Server Push:"
"Enable Server Push","Enable Server Push"
"Asset Types to Server Push","Asset Types to Server Push"
"Exclude URLs from Server Push","Exclude URLs from Server Push"
"Other Settings:","Other Settings:"
"Sign Static Files","Sign Static Files"
"Asynchronous indexing","Asynchronous indexing"
"JS Files","JS Files"
"CSS Files","CSS Files"
"Font Files","Font Files"
