Edit,Edit
Delete,Delete
"Delete Store","Delete Store"
"Are you sure you wan't to delete this Store?","Are you sure you wan't to delete this Store?"
"Choosen Store","Choosen Store"
"Pickup Date","Pickup Date"
"Pickup Time","Pickup Time"
"Pick Up Here!","Pick Up Here!"
Close,Close
"Store Pickup","Store Pickup"
Enabled,Enabled
Title,Title
"Method Name","Method Name"
"Shipping Cost","Shipping Cost"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
