Replace,Replace
Search,Search
"Replace First","Replace First"
Slice,Slice
From,From
To,To
Truncate,Truncate
Count,Count
"Append Last","Append Last"
"Truncate Words","Truncate Words"
Words,Words
Lowercase,Lowercase
Ceil,Ceil
Uppercase,Uppercase
Capitalize,Capitalize
"Uppercase first character of each word ","Uppercase first character of each word "
Append,Append
Prepend,Prepend
"At Least","At Least"
"At Most","At Most"
Date,Date
"Date Format","Date Format"
Default,Default
"Divided By","Divided By"
Plus,Plus
Remove,Remove
Join,Join
"Join By","Join By"
Minus,Minus
Modulo,Modulo
Times,Times
Abs,Abs
"Down Case","Down Case"
Escape,Escape
"Escape once","Escape once"
Floor,Floor
"Left Trim","Left Trim"
"Replace new line to <br","Replace new line to <br"
"Reverse Array","Reverse Array"
"Right Trim","Right Trim"
"Array Size","Array Size"
"Array Sort","Array Sort"
"Trim Text","Trim Text"
"Strip Html Tags","Strip Html Tags"
"Strip New Line","Strip New Line"
"Unique Id Of Array","Unique Id Of Array"
"Decode Url","Decode Url"
"Encode Url","Encode Url"
Price,Price
"If Empty","If Empty"
"Format Date","Format Date"
"Custom Connections","Custom Connections"
"Custom Dimensions","Custom Dimensions"
"Custom Metrics","Custom Metrics"
"Please enable module","Please enable module"
"No information to export","No information to export"
"Something wrong when export file","Something wrong when export file"
"The module is disabled","The module is disabled"
"Google Tag Manager is disabled","Google Tag Manager is disabled"
"Google Analytics is disabled","Google Analytics is disabled"
"Facebook Pixed is disabled","Facebook Pixed is disabled"
"The type is incorrect!","The type is incorrect!"
"The action is incorrect!","The action is incorrect!"
"Not a valid URL.","Not a valid URL."
"Parameter names are duplicated. Please check Custom Dimensions and Custom Metrics","Parameter names are duplicated. Please check Custom Dimensions and Custom Metrics"
"-- Please select --","-- Please select --"
"Search Result Page","Search Result Page"
"Add to Wishlist","Add to Wishlist"
"Customer Registration","Customer Registration"
"Customer Login After","Customer Login After"
"Order Refunds","Order Refunds"
"Add Payment","Add Payment"
"Add Shipping","Add Shipping"
"Add to Cart","Add to Cart"
"Remove from Cart","Remove from Cart"
"Begins Checkout","Begins Checkout"
Purchase,Purchase
"View Item","View Item"
"View Item List","View Item List"
"View Cart","View Cart"
"Related Product","Related Product"
"Up-sell Product","Up-sell Product"
"Cross-sell Product","Cross-sell Product"
ID,ID
SKU,SKU
"currentPage value %1 specified is greater than the %2 page(s) available.","currentPage value %1 specified is greater than the %2 page(s) available."
"""model"" value should be specified","""model"" value should be specified"
"Send to Google Analytics Success","Send to Google Analytics Success"
"Cannot connect to server. Please try again later.","Cannot connect to server. Please try again later."
"Send refund data to Google Analytics 4 success","Send refund data to Google Analytics 4 success"
"Send add to cart data to Google Analytics 4 success","Send add to cart data to Google Analytics 4 success"
"Measurement ID","Measurement ID"
"Secret API","Secret API"
Action,Action
Add,Add
"Enter the corresponding Measurement ID and API Secrets values together to track events.","Enter the corresponding Measurement ID and API Secrets values together to track events."
"To get ","To get "
", ",", "
"API Secrets","API Secrets"
" you can refer to the instruction links"," you can refer to the instruction links"
Delete,Delete
"Parameter Name","Parameter Name"
"Track Custom Attribute","Track Custom Attribute"
Index,Index
"Custom Dimensions to collect and analyze attributes from your store that are not automatically tracked by Google Analytics 4.","Custom Dimensions to collect and analyze attributes from your store that are not automatically tracked by Google Analytics 4."
"Product Attributes","Product Attributes"
"Customer Attributes","Customer Attributes"
Name,Name
"Custom Dimensions to collect and analyze attributes from your store that are not automatically tracked by Google Analytics.","Custom Dimensions to collect and analyze attributes from your store that are not automatically tracked by Google Analytics."
"Custom Metrics to collect and analyze attributes from your store that are not automatically tracked by Google Analytics.","Custom Metrics to collect and analyze attributes from your store that are not automatically tracked by Google Analytics."
Guide,Guide
"How to Configure Adwords Conversion Tracking","How to Configure Adwords Conversion Tracking"
"Custom Metrics to collect and analyze attributes from your store that are not automatically tracked by Google Analytics 4.","Custom Metrics to collect and analyze attributes from your store that are not automatically tracked by Google Analytics 4."
"Please enter a valid measurement ID","Please enter a valid measurement ID"
"Google Tag Manager","Google Tag Manager"
General,General
Enable,Enable
